S	n_j	Omega (S)	Algorithm1 CPU Time 	Algorithm[6]CPU Time 
S5 (1)	S = [14, 33, 60, 68, 137 ]	17	0.89	1.57
S5 (2)	S = [182, 455, 817, 2564, 2782]	90	137.26	229.68
S5 (3)	S = [12, 873, 1585, 1658, 2000]	443	60.07	115.66
S5 (4)	S = [34, 142, 239, 372, 906]	37	3.61	11.53
S5 (5)	S = [24, 105, 137, 308, 407]	44	1.57	3.07
S5 (6)	S = [ 8, 84, 317, 414, 667]	123	1.72	6.23
S5 (7)	S = [ 18, 142, 172, 1197, 1427]	176	13.34	36.96
S5 (8)	S = [84, 201, 206, 465, 707]	31	2.76	8.386
S5 (9)	S = [252, 376, 611, 904, 1341]	20	15.77	21.526
S5 (10)	S = [616, 729, 889, 1066, 1972]	20	120.56	169.82
S7 (1)	S = [18, 109, 113, 340, 382, 441, 445]	52	9.76	21.85
S7 (2)	S = [25, 59, 78, 130, 232, 304, 313]	20	3.43	7.59
S7 (3)	S = [483, 529, 822, 1157, 1174, 1484, 1853]	19	72.56	112.05
S7 (4)	S = [442, 457, 908, 1268, 1451, 1881, 1994]	21	146.98	412.34
S7 (5)	S = [83, 99, 110, 239, 254, 695, 741]	16	8.67	11.84
S7 (6)	S = [311, 623, 699, 915, 1271, 1306, 1457]	20	27.17	64.98
S7 (7)	S = [120, 220, 224, 505, 1115, 1123, 1197]	25	10.29	21.11
S7 (8)	S = [25, 67, 70, 98, 113, 146, 153]	16	0.71	2.45
S7 (9)	S = [368, 425, 632, 1096, 1379, 1638, 1864]	18	80.93	137.45
S7 (10)	S = [10, 112, 134, 179, 195, 233, 251]	54	1.09	8.4
S10 (1)	S = [58, 65, 100, 109, 122, 126, 211, 264, 363, 408]	12	11.52	19.27
S10 (2)	S = [35, 43, 58, 89, 96, 100, 103, 108, 114, 126]	9	2.28	8.43
S10 (3)	S = [42, 100, 118, 131, 149, 206, 213, 246, 287, 434]	18	8.80	23.08
S10 (4)	S = [58, 88, 95, 123, 135, 137, 145, 200, 213, 245]	10	9.67	11.74
S10 (5)	S = [182, 408, 424, 541, 588, 600, 930, 947, 1051, 1808]	22	140.37	306.98
S10 (6)	S = [266, 324, 343, 400, 446, 558, 722, 1081, 1361, 1822]	14	137.19	411.38
S10 (7)	S = [45, 156, 186, 236, 324, 328, 330, 347, 356, 521]	25	20.44	38.36
S10 (8)	S = [70, 129, 286, 481, 521, 598, 687, 804, 898, 935]	28	55.65	95.12
S10 (9)	S = [681, 930, 976, 1028, 1032, 1145, 1296, 1595, 1861, 1909]	11	169.98	480.56
S10 (10)	S = [63, 262, 306, 339, 398, 469, 487, 636, 914, 1185]	39	68.6	99.48
S12 (1)	S = [30, 48, 58, 65, 66, 69, 72, 75, 84, 103, 110, 115]	8	3.97	6.54
S12 (2)	S = [45, 53, 96, 107, 129, 146, 168, 185, 198, 217, 263, 268]	14	10.75	16.08
S12 (3)	S = [55, 88, 112, 122, 156, 159, 168, 216, 239, 240, 300, 394]	13	15.34	24.78
S12 (4)	S = [65, 70, 181, 188, 242, 263, 272, 332, 370, 373, 389, 515]	15	23.6	44.62
S12 (5)	S = [97, 99, 155, 157, 224, 255, 442, 461, 530, 595, 615, 684]	15	47.53	65.78
S12 (6)	S = [70, 106, 160, 187, 278, 387, 391, 408, 412, 423, 450, 725]	17	39.96	68.16
S12 (7)	S = [86, 133, 151, 159, 199, 203, 312, 467, 489, 519, 713, 830]	18	42.71	90.37
S12 (8)	S = [114, 227, 277, 321, 479, 591, 703, 736, 990, 1099, 1151, 1432]	25	120.85	220.45
S12 (9)	S = [124, 366, 382, 709, 854, 894, 1148, 1179, 1326, 1345, 2249, 2265]	39	237.87	485.68
S12 (10)	S = [158, 216, 362, 518, 683, 993, 1056, 1137, 1409, 1544, 1659, 2010]	23	209.87	418.39
S15 (1)	S = [62, 99, 101, 106, 129, 139, 196, 227, 236, 243, 273, 284, 296, 332, 345]	12	27.46	51.67
S15 (2)	S = [69, 92, 118, 123, 133, 142, 223, 282, 290, 309, 312, 313, 380, 385, 416]	11	31.85	67.98
S15 (3)	S = [62, 183, 197, 277, 290, 322, 387, 416, 556, 655, 685, 710, 793, 869, 973]	28	92.67	120.22
S15 (4)	S = [45, 59, 65, 66, 71, 76, 78, 86, 88, 92, 97, 101, 112, 119, 128]	6	21.07	35.65
S15 (5)	S = [79, 95, 147, 210, 300, 325, 331, 338, 340, 453, 481, 516, 602, 603, 618]	15	69.15	97.12
S15 (6)	S = [63, 69, 92, 93, 97, 105, 123, 147, 158, 163, 165, 171, 211, 213, 236]	8	29.43	47.94
S15 (7)	S = [94, 169, 207, 281, 356, 374, 744, 798, 819, 934, 970, 1017, 1226, 1356, 1398]	30	379.24	527.05
S15 (8)	S = [110, 356, 512, 627, 863, 966, 1121, 1122, 1255, 1257, 1323, 1393, 1455, 1560, 2043]	39	516.95	828.25
S15 (9)	S = [128, 461, 545, 570, 950, 1160, 1199, 1279, 1432, 1457, 1500, 1577, 1609, 1750, 2331]	33	654.03	978.22
S15 (10)	S = [110, 152, 158, 193, 209, 264, 315, 396, 436, 439, 500, 596, 639, 727, 795]	13	78.55	126.65
S17 (1)	S = [90, 102, 145, 177, 191, 221, 258, 264, 271, 288, 296, 312, 342, 345, 440, 445, 520]	11	94.84	117.5
S17 (2)	S = [187, 260, 268, 361, 433, 577, 582, 690, 731, 746, 765, 802, 968, 1136, 1239, 1248, 1372]	15	1350.13	1499.34
S17 (3)	S = [65, 178, 200, 266, 282, 354, 359, 361, 364, 446, 496, 566, 571, 579, 615, 688, 936]	22	541.87	936.43
S17 (4)	S = [112, 391, 520, 774, 888, 1064, 1205, 1231, 1268, 1290, 1419, 1432, 1540, 1748, 2055, 2138, 2208]	38	1611.76	6235.22
S17 (5)	S = [52, 254, 297, 406, 422, 446, 471, 480, 499, 516, 535, 631, 685, 726, 733, 751, 1081]	41	1078.65	3674.35
S17 (6)	S = [198, 264, 376, 556, 567, 605, 778, 962, 987, 1004, 1131, 1201, 1276, 1497, 1522, 1685, 1751]	21	1146.72	4559.23
S17 (7)	S = [74, 107, 130, 147, 180, 186, 191, 239, 247, 256, 268, 283, 284, 289, 302, 392, 421]	12	68.75	145.22
S17 (8)	S = [55, 73, 94, 106, 123, 130, 135, 140, 144, 158, 180, 182, 186, 187, 193, 227, 283]	9	47.19	104.76
S17 (9)	S = [37, 39, 41, 50, 56, 60, 61, 65, 66, 68, 70, 72, 75, 77, 79, 86, 92]	6	36.5	86.35
S17 (10)	S = [29, 48, 51, 56, 60, 63, 65, 70, 74, 76, 84, 88, 95, 98, 100, 101, 110]	8	39.22	74.09
S20 (1)	S = [ 80, 149, 201, 237, 267, 268, 279, 292, 324, 338, 358, 375, 380, 387, 414, 435, 488, 512, 522, 594]	15	595.65	734.12
S20 (2)	S = [ 90, 405, 411, 418, 517, 552, 578, 606, 726, 748, 785, 791, 795, 805, 946, 969, 1071, 1164, 1267, 1269 ]	26	5136.11	8487.03
S20 (3)	S = [ 166, 376, 546, 560, 779, 1013, 1019, 1114, 1284, 1290, 1539, 1585, 1593, 1645, 1667, 1673, 1700, 1986, 2183, 2499]	30	26536.03	58482.79
S20 (4)	S = [ 193, 202, 213, 249, 265, 275, 281, 304, 362, 366, 371, 473, 487, 552, 590, 645, 695, 709, 750, 870]	10	1267.96	1585.38
S20 (5)	S = [ 43, 90, 138, 139, 142, 148, 159, 173, 174, 183, 194, 197, 230, 231, 236, 241, 243, 282, 299, 308 ]	16	659.84	769.5
S20 (6)	S = [ 66, 141, 161, 195, 220, 224, 254, 257, 260, 269, 272, 296, 298, 319, 350, 370, 374, 379, 417, 465 ]	15	684.26	823.54
S20 (7)	S = [ 62, 77, 117, 121, 138, 148, 149, 150, 152, 163, 164, 175, 184, 187, 195, 208, 230, 233, 239, 244 ]	9	376.94	415.98
S20 (8)	S = [ 148, 242, 252, 281, 298, 328, 439, 464, 519, 573, 607, 627, 654, 741, 809, 816, 828, 961, 966, 1133 ]	16	5980.55	6259.43
S20 (9)	S = [ 163, 271, 322, 358, 393, 406, 419, 431, 511, 522, 526, 669, 698, 731, 774, 794, 898, 954, 1005, 1094 ]	13	4622.76	5474.73
S20 (10)	S = [ 279, 423, 440, 475, 519, 592, 657, 749, 803, 1024, 1259, 1396, 1413, 1428, 1477, 1535, 1611, 1680, 2102, 2285 ]	17	21277.29	32726.86
